player;amount;length;year;team
Alex Rodriguez;$275,000,000.00;10;2007;NYY
Derek Jeter;$189,000,000.00;10;2001;NYY
Manny Ramirez;$160,000,000.00;8;2000;BOS
Albert Pujols;$240,000,000.00;10;2011;LAA
Clayton Kershaw;$215,000,000.00;7;2014;LAD
Prince Fielder;$214,000,000.00;9;2012;DET
Mark Teixeira;$180,000,000.00;8;2008;NYY
Dave Winfield;$0.00;None;None;None
David Price;$217,000,000.00;7;2015;BOS
Joe Mauer;$184,000,000.00;8;2010;MIN
Kevin Brown;$105,000,000.00;7;1998;LAD
Robinson Cano;$240,000,000.00;10;2013;SEA
Zack Greinke;$206,500,000.00;6;2015;ARI
Catfish Hunter;$0.00;None;None;None
Max Scherzer;$210,000,000.00;7;2015;WAS
Mike Hampton;$121,000,000.00;8;2000;COL
Felix Hernandez;$175,000,000.00;7;2013;SEA
Alfonso Soriano;$136,000,000.00;8;2006;CHC
Jason Heyward;$184,000,000.00;8;2015;CHC
Mike Piazza;$91,000,000.00;7;1998;NYM
Chipper Jones;$90,000,000.00;6;2000;ATL
Johan Santana;$137,500,000.00;6;2008;NYM
Carlos Beltran;$119,000,000.00;7;2005;NYM
Ken Griffey Jr;$116,500,000.00;9;2000;CIN
Bernie Williams;$0.00;None;None;None
Adrian Gonzalez;$154,000,000.00;7;2011;BOS
Barry Zito;$18,000,000.00;1;2013;SF
Barry Bonds;$90,000,000.00;5;2002;SF
Masahiro Tanaka;$155,000,000.00;7;2014;NYY
Chris Davis;$161,000,000.00;7;2016;BAL
Mo Vaughn;$0.00;None;None;None
Jacoby Ellsbury;$153,000,000.00;7;2013;NYY
Carl Crawford;$142,000,000.00;7;2010;BOS
Mike Mussina;$88,500,000.00;6;2000;NYY
Jon Lester;$155,000,000.00;6;2014;CHC
Jim Thome;$85,000,000.00;6;2002;PHI
Vernon Wells;$126,000,000.00;7;2006;TOR
Mike Schmidt;$0.00;None;None;None
Pedro Martinez;$75,000,000.00;6;1997;BOS
Matt Holliday;$120,000,000.00;7;2010;STL
David Wright;$138,000,000.00;8;2012;NYM
Cliff Lee;$120,000,000.00;5;2010;PHI
Ryan Howard;$125,000,000.00;5;2010;PHI
Eric Hosmer;$39,000,000.00;3;2022;BOS
Carlos Lee;$0.00;None;None;None
Jayson Werth;$126,000,000.00;7;2010;WAS
Justin Verlander;$180,000,000.00;7;2013;DET
CC Sabathia;$161,000,000.00;7;2008;NYY
Magglio Ordonez;$10,000,000.00;1;2010;DET
Cecil Fielder;$0.00;None;None;None
Greg Maddux;$57,500,000.00;5;1997;ATL
